Model,Split,Feature,Importance
ExtraTrees,Temporal,npk_potassium_k2o_median,0.05684145576747401
ExtraTrees,Temporal,longitude_cos,0.023103081380533245
ExtraTrees,Temporal,latitude_cos,0.09626298001058713
ExtraTrees,Temporal,previous_crop_1,0.0017334592504309547
ExtraTrees,Temporal,previous_crop_2,0.0005139312735733345
ExtraTrees,Temporal,previous_crop_3,0.0
ExtraTrees,Temporal,previous_crop_4,0.0
ExtraTrees,Temporal,previous_crop_5,0.001793403934579965
ExtraTrees,Temporal,previous_crop_6,0.0
ExtraTrees,Temporal,previous_crop_7,0.00010303516670402285
ExtraTrees,Temporal,previous_crop_8,0.0008407774749653305
ExtraTrees,Temporal,previous_crop_9,0.0009809591225511374
ExtraTrees,Temporal,previous_crop_10,0.0013394511780160697
ExtraTrees,Temporal,previous_crop_11,0.0024973981348506355
ExtraTrees,Temporal,previous_crop_12,0.0
ExtraTrees,Temporal,previous_crop_13,0.0
ExtraTrees,Temporal,previous_crop_14,0.0
ExtraTrees,Temporal,previous_crop_15,0.0
ExtraTrees,Temporal,previous_crop_16,0.0032827287612577603
ExtraTrees,Temporal,previous_crop_17,0.0
ExtraTrees,Temporal,previous_crop_18,0.00035504657891296274
ExtraTrees,Temporal,previous_crop_19,0.0001618464293412136
ExtraTrees,Temporal,previous_crop_20,0.0013904118860448543
ExtraTrees,Temporal,previous_crop_21,0.00038993846382858914
ExtraTrees,Temporal,previous_crop_22,0.00010776699133911857
ExtraTrees,Temporal,previous_crop_23,0.0
ExtraTrees,Temporal,previous_crop_24,7.145530338871472e-07
ExtraTrees,Temporal,previous_crop_25,0.0008613477033102486
ExtraTrees,Temporal,previous_crop_26,5.091058433633858e-05
ExtraTrees,Temporal,previous_crop_27,0.0
ExtraTrees,Temporal,previous_crop_28,0.004049204502316817
ExtraTrees,Temporal,previous_crop_29,0.0
ExtraTrees,Temporal,previous_crop_30,0.0019389592552969614
ExtraTrees,Temporal,previous_crop_31,0.0
ExtraTrees,Temporal,previous_crop_32,0.004928845658279887
ExtraTrees,Temporal,previous_crop_33,0.0
ExtraTrees,Temporal,previous_crop_34,0.001481211450193841
ExtraTrees,Temporal,previous_crop_35,0.0008580190850227485
ExtraTrees,Temporal,previous_crop_36,0.0
ExtraTrees,Temporal,previous_crop_37,8.502684892508207e-05
ExtraTrees,Temporal,region_1,0.003878749273295198
ExtraTrees,Temporal,region_2,0.00018418606463769616
ExtraTrees,Temporal,region_3,0.007725985927246082
ExtraTrees,Temporal,region_4,0.0001932810428123732
ExtraTrees,Temporal,region_5,0.0
ExtraTrees,Temporal,region_6,0.006369665926299297
ExtraTrees,Temporal,region_7,0.011911883427917594
ExtraTrees,Temporal,province_1,0.0
ExtraTrees,Temporal,province_2,0.00018972304701876156
ExtraTrees,Temporal,province_3,0.0
ExtraTrees,Temporal,province_4,0.03766086950473358
ExtraTrees,Temporal,province_5,0.006158880527639879
ExtraTrees,Temporal,province_6,0.002035083985259479
ExtraTrees,Temporal,province_7,0.00016748166408005847
ExtraTrees,Temporal,province_8,0.0010055909817450375
ExtraTrees,Temporal,province_9,0.0
ExtraTrees,Temporal,province_10,0.00538837535237213
ExtraTrees,Temporal,province_11,0.003857590038868028
ExtraTrees,Temporal,province_12,0.005909910180857631
ExtraTrees,Temporal,province_13,0.0003837250488153072
ExtraTrees,Temporal,province_14,0.00829131725398338
ExtraTrees,Temporal,province_15,0.017984163487632057
ExtraTrees,Temporal,province_16,0.00016983626921589971
ExtraTrees,Temporal,province_17,0.0006335119155649544
ExtraTrees,Temporal,province_18,0.00027498591524073715
ExtraTrees,Temporal,province_19,0.0026103384168606578
ExtraTrees,Temporal,province_20,0.0017929158858937411
ExtraTrees,Temporal,province_21,0.002485956115167384
ExtraTrees,Temporal,province_22,0.0041903210503689255
ExtraTrees,Temporal,province_23,0.004594470161303829
ExtraTrees,Temporal,province_24,0.011664117163618239
ExtraTrees,Temporal,province_25,0.000240165806388173
ExtraTrees,Temporal,province_26,0.004988337700259951
ExtraTrees,Temporal,province_27,0.0
ExtraTrees,Temporal,province_28,0.0
ExtraTrees,Temporal,province_29,0.00017290829679571438
ExtraTrees,Temporal,sub_program_1,0.002953633993492551
